,FIRMS_18_lat,FIRMS_18_lng,FIRMS_18_cf,FIRMS_18_aq,dist_between,no,postal_code
94,-34.10368,150.96361,h,10/03/2019,10.45924078,3094,2234
95,-34.10368,150.96361,h,10/03/2019,11.05821343,3095,2234
96,-34.10368,150.96361,h,10/03/2019,11.36935661,3096,2234
97,-34.10368,150.96361,h,10/03/2019,11.05143386,3097,2234
98,-34.10368,150.96361,h,10/03/2019,11.99392174,3098,2234
99,-34.10368,150.96361,h,10/03/2019,10.82442436,3198,2232
100,-34.10368,150.96361,h,10/03/2019,12.99676509,3319,2227
101,-34.10368,150.96361,h,10/03/2019,12.40455897,3331,2234
102,-34.10368,150.96361,h,10/03/2019,13.50740759,3340,2232
103,-34.10368,150.96361,h,10/03/2019,11.15026494,3368,2234
104,-34.10368,150.96361,h,10/03/2019,10.06308822,3369,2234
105,-34.10368,150.96361,h,10/03/2019,10.97844724,3370,2234
106,-34.10368,150.96361,h,10/03/2019,9.746040284,3371,2234
107,-34.10368,150.96361,h,10/03/2019,14.76969664,3413,2225
108,-34.10368,150.96361,h,10/03/2019,12.45409031,3465,2232
109,-34.10368,150.96361,h,10/03/2019,14.43550534,3508,2234
110,-34.10368,150.96361,h,10/03/2019,13.31449996,3548,2227
111,-34.10368,150.96361,h,10/03/2019,12.35083396,3549,2227
112,-34.10368,150.96361,h,10/03/2019,4.107471984,3550,2233
113,-34.10368,150.96361,h,10/03/2019,12.78520143,3562,2560
114,-34.10368,150.96361,h,10/03/2019,14.71603835,3606,2234
115,-34.10368,150.96361,h,10/03/2019,11.80713491,3617,2234
116,-34.10368,150.96361,h,10/03/2019,13.09856929,3648,2226
117,-34.10368,150.96361,h,10/03/2019,14.92030846,3665,2229
118,-34.10368,150.96361,h,10/03/2019,14.74561266,3697,2226
119,-34.10368,150.96361,h,10/03/2019,6.339675038,3738,2233
120,-34.10368,150.96361,h,10/03/2019,13.03076092,3787,2227
121,-34.10368,150.96361,h,10/03/2019,14.68692992,3788,2227
122,-34.10368,150.96361,h,10/03/2019,13.34493393,3800,2226
123,-34.10368,150.96361,h,10/03/2019,13.94954578,3801,2226
124,-34.10368,150.96361,h,10/03/2019,12.0283387,3835,2234
125,-34.10368,150.96361,h,10/03/2019,13.91773731,3843,2566
126,-34.10368,150.96361,h,10/03/2019,9.814743162,4025,2233
127,-34.10368,150.96361,h,10/03/2019,10.35819332,4026,2233
128,-34.10368,150.96361,h,10/03/2019,14.59341788,4127,2226
129,-34.10368,150.96361,h,10/03/2019,5.835461536,4172,2233
130,-34.10368,150.96361,h,10/03/2019,14.09555378,4238,2234
131,-34.10368,150.96361,h,10/03/2019,12.07666992,4255,2232
132,-34.10368,150.96361,h,10/03/2019,13.73469776,4256,2232
133,-34.10368,150.96361,h,10/03/2019,14.99559705,4362,2225
134,-34.10368,150.96361,h,10/03/2019,14.49968448,4381,2213
135,-34.10368,150.96361,h,10/03/2019,11.73530145,4467,2232
136,-34.10368,150.96361,h,10/03/2019,9.391757419,4509,2233
137,-34.10368,150.96361,h,10/03/2019,7.968273576,4548,2234
138,-34.10368,150.96361,h,10/03/2019,13.49417116,4739,2227
139,-34.10368,150.96361,h,10/03/2019,13.99795379,4751,2234
140,-34.10368,150.96361,h,10/03/2019,13.17463773,4838,2566
141,-34.10368,150.96361,h,10/03/2019,14.19552128,4839,2228
142,-34.10368,150.96361,h,10/03/2019,14.5220691,4841,2228
143,-34.10368,150.96361,h,10/03/2019,12.09743239,4963,2560
144,-34.10368,150.96361,h,10/03/2019,11.43900607,5073,2234
145,-34.10368,150.96361,h,10/03/2019,14.58162442,5092,2560
146,-34.10368,150.96361,h,10/03/2019,14.85249818,5110,2229
147,-34.10368,150.96361,h,10/03/2019,8.303030419,5189,2233
148,-34.10368,150.96361,h,10/03/2019,13.06549641,5222,2227
149,-34.10368,150.96361,h,10/03/2019,13.43686069,5233,2226
150,-34.10368,150.96361,h,10/03/2019,11.76768324,5248,2232
151,-34.10368,150.96361,h,10/03/2019,11.18764228,5293,2234
152,-34.10368,150.96361,h,10/03/2019,11.44315051,5449,2232
153,-34.10368,150.96361,h,10/03/2019,11.50155694,5486,2234
154,-34.10368,150.96361,h,10/03/2019,13.39183984,5514,2226
155,-34.10368,150.96361,h,10/03/2019,12.99134311,5661,2227
156,-34.10368,150.96361,h,10/03/2019,13.21037945,5682,2234
157,-34.10368,150.96361,h,10/03/2019,13.47456951,5683,2565
158,-34.10368,150.96361,h,10/03/2019,13.78286256,5684,2226
159,-34.10368,150.96361,h,10/03/2019,11.91137652,5698,2232
160,-34.10368,150.96361,h,10/03/2019,12.61649055,5699,2232
161,-34.10368,150.96361,h,10/03/2019,10.57517009,5738,2234
162,-34.10368,150.96361,h,10/03/2019,14.62785407,5935,2234
163,-34.10368,150.96361,h,10/03/2019,5.49251943,6119,2233
