"","FIRMS_18_lat","FIRMS_18_lng","FIRMS_18_cf","FIRMS_18_aq","dist_between","no","postal_code","LGA","ato_flag"
"1",-34.10368,150.96361,"h","10/03/2019",12.87623114,46,2226,NA,"N"
"2",-34.10368,150.96361,"h","10/03/2019",14.67718216,63,2229,NA,"N"
"3",-34.10368,150.96361,"h","10/03/2019",13.7051609,147,2227,NA,"N"
"4",-34.10368,150.96361,"h","10/03/2019",12.6698855,148,2227,NA,"N"
"5",-34.10368,150.96361,"h","10/03/2019",4.919849415,151,2233,NA,"N"
"6",-34.10368,150.96361,"h","10/03/2019",14.40325798,163,2232,NA,"N"
"7",-34.10368,150.96361,"h","10/03/2019",14.98557582,180,2210,NA,"N"
"8",-34.10368,150.96361,"h","10/03/2019",8.480053918,359,2233,NA,"N"
"9",-34.10368,150.96361,"h","10/03/2019",14.36871802,360,2228,NA,"N"
"10",-34.10368,150.96361,"h","10/03/2019",14.06950918,361,2228,NA,"N"
"11",-34.10368,150.96361,"h","10/03/2019",13.10317308,402,2226,NA,"N"
"12",-34.10368,150.96361,"h","10/03/2019",9.33143431,463,2233,NA,"N"
"13",-34.10368,150.96361,"h","10/03/2019",5.288405014,464,2233,NA,"N"
"14",-34.10368,150.96361,"h","10/03/2019",13.66634163,505,2227,NA,"N"
"15",-34.10368,150.96361,"h","10/03/2019",10.66974569,552,2234,NA,"N"
"16",-34.10368,150.96361,"h","10/03/2019",12.740167,635,2232,NA,"N"
"17",-34.10368,150.96361,"h","10/03/2019",14.23124278,664,2234,NA,"N"
"18",-34.10368,150.96361,"h","10/03/2019",13.97813981,717,2560,"Wollondilly","Y"
"19",-34.10368,150.96361,"h","10/03/2019",14.39188191,736,2229,NA,"N"
"20",-34.10368,150.96361,"h","10/03/2019",6.661920688,821,2233,NA,"N"
"21",-34.10368,150.96361,"h","10/03/2019",5.312029462,822,2233,NA,"N"
"22",-34.10368,150.96361,"h","10/03/2019",13.96904046,868,2227,NA,"N"
"23",-34.10368,150.96361,"h","10/03/2019",12.62686543,869,2227,NA,"N"
"24",-34.10368,150.96361,"h","10/03/2019",14.02084445,883,2234,NA,"N"
"25",-34.10368,150.96361,"h","10/03/2019",14.32547274,884,2232,NA,"N"
"26",-34.10368,150.96361,"h","10/03/2019",14.86185921,885,2232,NA,"N"
"27",-34.10368,150.96361,"h","10/03/2019",12.14315947,893,2232,NA,"N"
"28",-34.10368,150.96361,"h","10/03/2019",11.49531714,934,2234,NA,"N"
"29",-34.10368,150.96361,"h","10/03/2019",11.96789182,935,2234,NA,"N"
"30",-34.10368,150.96361,"h","10/03/2019",12.31731426,1048,2232,NA,"N"
"31",-34.10368,150.96361,"h","10/03/2019",12.58055829,1049,2232,NA,"N"
"32",-34.10368,150.96361,"h","10/03/2019",14.01286626,1086,2228,NA,"N"
"33",-34.10368,150.96361,"h","10/03/2019",11.31153768,1109,2234,NA,"N"
"34",-34.10368,150.96361,"h","10/03/2019",14.75128839,1191,2226,NA,"N"
"35",-34.10368,150.96361,"h","10/03/2019",6.276839598,1239,2233,NA,"N"
"36",-34.10368,150.96361,"h","10/03/2019",7.554525665,1240,2233,NA,"N"
"37",-34.10368,150.96361,"h","10/03/2019",5.832771076,1241,2233,NA,"N"
"38",-34.10368,150.96361,"h","10/03/2019",12.79863233,1273,2227,NA,"N"
"39",-34.10368,150.96361,"h","10/03/2019",14.6899458,1317,2210,NA,"N"
"40",-34.10368,150.96361,"h","10/03/2019",14.44871959,1338,2228,NA,"N"
"41",-34.10368,150.96361,"h","10/03/2019",12.54365191,1448,2232,NA,"N"
"42",-34.10368,150.96361,"h","10/03/2019",12.65695841,1449,2232,NA,"N"
"43",-34.10368,150.96361,"h","10/03/2019",12.17621734,1483,2232,NA,"N"
"44",-34.10368,150.96361,"h","10/03/2019",13.93960695,1486,2228,NA,"N"
"45",-34.10368,150.96361,"h","10/03/2019",10.86540734,1502,2234,NA,"N"
"46",-34.10368,150.96361,"h","10/03/2019",11.51176765,1503,2234,NA,"N"
"47",-34.10368,150.96361,"h","10/03/2019",11.79691687,1504,2234,NA,"N"
"48",-34.10368,150.96361,"h","10/03/2019",11.05996084,1505,2234,NA,"N"
"49",-34.10368,150.96361,"h","10/03/2019",5.552267815,1629,2233,NA,"N"
"50",-34.10368,150.96361,"h","10/03/2019",5.534954009,1667,2233,NA,"N"
"51",-34.10368,150.96361,"h","10/03/2019",14.41684262,1710,2229,NA,"N"
"52",-34.10368,150.96361,"h","10/03/2019",9.950229621,1729,2234,NA,"N"
"53",-34.10368,150.96361,"h","10/03/2019",12.09539344,1894,2232,NA,"N"
"54",-34.10368,150.96361,"h","10/03/2019",8.215904314,1897,2233,NA,"N"
"55",-34.10368,150.96361,"h","10/03/2019",13.20685765,1904,2234,NA,"N"
"56",-34.10368,150.96361,"h","10/03/2019",9.304097855,1925,2234,NA,"N"
"57",-34.10368,150.96361,"h","10/03/2019",8.201134138,1926,2234,NA,"N"
"58",-34.10368,150.96361,"h","10/03/2019",9.109122388,1927,2234,NA,"N"
"59",-34.10368,150.96361,"h","10/03/2019",13.26983122,1963,2226,NA,"N"
"60",-34.10368,150.96361,"h","10/03/2019",12.82493065,1964,2226,NA,"N"
"61",-34.10368,150.96361,"h","10/03/2019",4.305513567,2139,2233,NA,"N"
"62",-34.10368,150.96361,"h","10/03/2019",14.7452635,2156,2232,NA,"N"
"63",-34.10368,150.96361,"h","10/03/2019",12.54302105,2170,2232,NA,"N"
"64",-34.10368,150.96361,"h","10/03/2019",13.02299854,2171,2232,NA,"N"
"65",-34.10368,150.96361,"h","10/03/2019",14.82700575,2378,2224,NA,"N"
"66",-34.10368,150.96361,"h","10/03/2019",11.45583886,2448,2234,NA,"N"
"67",-34.10368,150.96361,"h","10/03/2019",12.94100967,2497,2226,NA,"N"
"68",-34.10368,150.96361,"h","10/03/2019",13.85481887,2501,2560,"Wollondilly","Y"
"69",-34.10368,150.96361,"h","10/03/2019",5.038654192,2609,2233,NA,"N"
"70",-34.10368,150.96361,"h","10/03/2019",6.531901703,2610,2233,NA,"N"
"71",-34.10368,150.96361,"h","10/03/2019",14.62410599,2667,2227,NA,"N"
"72",-34.10368,150.96361,"h","10/03/2019",12.89698863,2668,2227,NA,"N"
"73",-34.10368,150.96361,"h","10/03/2019",13.06638074,2686,2234,NA,"N"
"74",-34.10368,150.96361,"h","10/03/2019",11.14573286,2734,2234,NA,"N"
"75",-34.10368,150.96361,"h","10/03/2019",11.65887567,2735,2234,NA,"N"
"76",-34.10368,150.96361,"h","10/03/2019",12.64248977,2736,2234,NA,"N"
"77",-34.10368,150.96361,"h","10/03/2019",11.54853645,2737,2234,NA,"N"
"78",-34.10368,150.96361,"h","10/03/2019",14.69651614,2741,2228,NA,"N"
"79",-34.10368,150.96361,"h","10/03/2019",14.13394233,2743,2228,NA,"N"
"80",-34.10368,150.96361,"h","10/03/2019",14.82476496,2744,2228,NA,"N"
"81",-34.10368,150.96361,"h","10/03/2019",14.77775185,2799,2225,NA,"N"
"82",-34.10368,150.96361,"h","10/03/2019",14.47045495,2800,2225,NA,"N"
"83",-34.10368,150.96361,"h","10/03/2019",14.98936778,2820,2213,NA,"N"
"84",-34.10368,150.96361,"h","10/03/2019",14.89069625,2821,2213,NA,"N"
"85",-34.10368,150.96361,"h","10/03/2019",12.95216411,2918,2560,"Wollondilly","Y"
"86",-34.10368,150.96361,"h","10/03/2019",7.816465974,2936,2233,NA,"N"
"87",-34.10368,150.96361,"h","10/03/2019",11.46990177,2953,2234,NA,"N"
"88",-34.10368,150.96361,"h","10/03/2019",13.14925603,2973,2226,NA,"N"
"89",-34.10368,150.96361,"h","10/03/2019",7.130955283,3023,2233,NA,"N"
"90",-34.10368,150.96361,"h","10/03/2019",13.48736461,3047,2227,NA,"N"
"91",-34.10368,150.96361,"h","10/03/2019",4.650337309,3051,2233,NA,"N"
"92",-34.10368,150.96361,"h","10/03/2019",13.48118841,3054,2234,NA,"N"
"93",-34.10368,150.96361,"h","10/03/2019",14.27492062,3055,2565,NA,"N"
"94",-34.10368,150.96361,"h","10/03/2019",10.45924078,3094,2234,NA,"N"
"95",-34.10368,150.96361,"h","10/03/2019",11.05821343,3095,2234,NA,"N"
"96",-34.10368,150.96361,"h","10/03/2019",11.36935661,3096,2234,NA,"N"
"97",-34.10368,150.96361,"h","10/03/2019",11.05143386,3097,2234,NA,"N"
"98",-34.10368,150.96361,"h","10/03/2019",11.99392174,3098,2234,NA,"N"
"99",-34.10368,150.96361,"h","10/03/2019",10.82442436,3198,2232,NA,"N"
"100",-34.10368,150.96361,"h","10/03/2019",12.99676509,3319,2227,NA,"N"
"101",-34.10368,150.96361,"h","10/03/2019",12.40455897,3331,2234,NA,"N"
"102",-34.10368,150.96361,"h","10/03/2019",13.50740759,3340,2232,NA,"N"
"103",-34.10368,150.96361,"h","10/03/2019",11.15026494,3368,2234,NA,"N"
"104",-34.10368,150.96361,"h","10/03/2019",10.06308822,3369,2234,NA,"N"
"105",-34.10368,150.96361,"h","10/03/2019",10.97844724,3370,2234,NA,"N"
"106",-34.10368,150.96361,"h","10/03/2019",9.746040284,3371,2234,NA,"N"
"107",-34.10368,150.96361,"h","10/03/2019",14.76969664,3413,2225,NA,"N"
"108",-34.10368,150.96361,"h","10/03/2019",12.45409031,3465,2232,NA,"N"
"109",-34.10368,150.96361,"h","10/03/2019",14.43550534,3508,2234,NA,"N"
"110",-34.10368,150.96361,"h","10/03/2019",13.31449996,3548,2227,NA,"N"
"111",-34.10368,150.96361,"h","10/03/2019",12.35083396,3549,2227,NA,"N"
"112",-34.10368,150.96361,"h","10/03/2019",4.107471984,3550,2233,NA,"N"
"113",-34.10368,150.96361,"h","10/03/2019",12.78520143,3562,2560,"Wollondilly","Y"
"114",-34.10368,150.96361,"h","10/03/2019",14.71603835,3606,2234,NA,"N"
"115",-34.10368,150.96361,"h","10/03/2019",11.80713491,3617,2234,NA,"N"
"116",-34.10368,150.96361,"h","10/03/2019",13.09856929,3648,2226,NA,"N"
"117",-34.10368,150.96361,"h","10/03/2019",14.92030846,3665,2229,NA,"N"
"118",-34.10368,150.96361,"h","10/03/2019",14.74561266,3697,2226,NA,"N"
"119",-34.10368,150.96361,"h","10/03/2019",6.339675038,3738,2233,NA,"N"
"120",-34.10368,150.96361,"h","10/03/2019",13.03076092,3787,2227,NA,"N"
"121",-34.10368,150.96361,"h","10/03/2019",14.68692992,3788,2227,NA,"N"
"122",-34.10368,150.96361,"h","10/03/2019",13.34493393,3800,2226,NA,"N"
"123",-34.10368,150.96361,"h","10/03/2019",13.94954578,3801,2226,NA,"N"
"124",-34.10368,150.96361,"h","10/03/2019",12.0283387,3835,2234,NA,"N"
"125",-34.10368,150.96361,"h","10/03/2019",13.91773731,3843,2566,NA,"N"
"126",-34.10368,150.96361,"h","10/03/2019",9.814743162,4025,2233,NA,"N"
"127",-34.10368,150.96361,"h","10/03/2019",10.35819332,4026,2233,NA,"N"
"128",-34.10368,150.96361,"h","10/03/2019",14.59341788,4127,2226,NA,"N"
"129",-34.10368,150.96361,"h","10/03/2019",5.835461536,4172,2233,NA,"N"
"130",-34.10368,150.96361,"h","10/03/2019",14.09555378,4238,2234,NA,"N"
"131",-34.10368,150.96361,"h","10/03/2019",12.07666992,4255,2232,NA,"N"
"132",-34.10368,150.96361,"h","10/03/2019",13.73469776,4256,2232,NA,"N"
"133",-34.10368,150.96361,"h","10/03/2019",14.99559705,4362,2225,NA,"N"
"134",-34.10368,150.96361,"h","10/03/2019",14.49968448,4381,2213,NA,"N"
"135",-34.10368,150.96361,"h","10/03/2019",11.73530145,4467,2232,NA,"N"
"136",-34.10368,150.96361,"h","10/03/2019",9.391757419,4509,2233,NA,"N"
"137",-34.10368,150.96361,"h","10/03/2019",7.968273576,4548,2234,NA,"N"
"138",-34.10368,150.96361,"h","10/03/2019",13.49417116,4739,2227,NA,"N"
"139",-34.10368,150.96361,"h","10/03/2019",13.99795379,4751,2234,NA,"N"
"140",-34.10368,150.96361,"h","10/03/2019",13.17463773,4838,2566,NA,"N"
"141",-34.10368,150.96361,"h","10/03/2019",14.19552128,4839,2228,NA,"N"
"142",-34.10368,150.96361,"h","10/03/2019",14.5220691,4841,2228,NA,"N"
"143",-34.10368,150.96361,"h","10/03/2019",12.09743239,4963,2560,"Wollondilly","Y"
"144",-34.10368,150.96361,"h","10/03/2019",11.43900607,5073,2234,NA,"N"
"145",-34.10368,150.96361,"h","10/03/2019",14.58162442,5092,2560,"Wollondilly","Y"
"146",-34.10368,150.96361,"h","10/03/2019",14.85249818,5110,2229,NA,"N"
"147",-34.10368,150.96361,"h","10/03/2019",8.303030419,5189,2233,NA,"N"
"148",-34.10368,150.96361,"h","10/03/2019",13.06549641,5222,2227,NA,"N"
"149",-34.10368,150.96361,"h","10/03/2019",13.43686069,5233,2226,NA,"N"
"150",-34.10368,150.96361,"h","10/03/2019",11.76768324,5248,2232,NA,"N"
"151",-34.10368,150.96361,"h","10/03/2019",11.18764228,5293,2234,NA,"N"
"152",-34.10368,150.96361,"h","10/03/2019",11.44315051,5449,2232,NA,"N"
"153",-34.10368,150.96361,"h","10/03/2019",11.50155694,5486,2234,NA,"N"
"154",-34.10368,150.96361,"h","10/03/2019",13.39183984,5514,2226,NA,"N"
"155",-34.10368,150.96361,"h","10/03/2019",12.99134311,5661,2227,NA,"N"
"156",-34.10368,150.96361,"h","10/03/2019",13.21037945,5682,2234,NA,"N"
"157",-34.10368,150.96361,"h","10/03/2019",13.47456951,5683,2565,NA,"N"
"158",-34.10368,150.96361,"h","10/03/2019",13.78286256,5684,2226,NA,"N"
"159",-34.10368,150.96361,"h","10/03/2019",11.91137652,5698,2232,NA,"N"
"160",-34.10368,150.96361,"h","10/03/2019",12.61649055,5699,2232,NA,"N"
"161",-34.10368,150.96361,"h","10/03/2019",10.57517009,5738,2234,NA,"N"
"162",-34.10368,150.96361,"h","10/03/2019",14.62785407,5935,2234,NA,"N"
"163",-34.10368,150.96361,"h","10/03/2019",5.49251943,6119,2233,NA,"N"
"164",-34.10368,150.96361,"h","10/03/2019",5.61748329,6120,2233,NA,"N"
"165",-34.10368,150.96361,"h","10/03/2019",4.80566707,6160,2233,NA,"N"
"166",-34.10368,150.96361,"h","10/03/2019",13.21037945,6176,2234,NA,"N"
"167",-34.10368,150.96361,"h","10/03/2019",13.724855,6177,2234,NA,"N"
"168",-34.10368,150.96361,"h","10/03/2019",13.48682134,6178,2565,NA,"N"
"169",-34.10368,150.96361,"h","10/03/2019",14.99720997,6253,2228,NA,"N"
"170",-34.10368,150.96361,"h","10/03/2019",11.51333551,6435,2232,NA,"N"
"171",-34.10368,150.96361,"h","10/03/2019",14.26406393,6440,2228,NA,"N"
"172",-34.10368,150.96361,"h","10/03/2019",12.07475633,6467,2234,NA,"N"
"173",-34.10368,150.96361,"h","10/03/2019",13.12078755,6505,2226,NA,"N"
"174",-34.10368,150.96361,"h","10/03/2019",14.58317567,6523,2229,NA,"N"
