rowname,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),59506838.43654799,6863173.090605978,8.670455728123546,4.427812212352501e-18
mean_taxable_income,16.62797864615342,0.14982255626796087,110.9844809777102,0
no_of_bath2,70041.03886537538,4614.496878257066,15.178477895477624,6.377023335679458e-52
no_of_bath3,295565.482777398,6945.081128998419,42.55752773618396,0
no_of_bath4,739350.687888869,13911.165827079209,53.14800334344826,0
no_of_bath5,1288575.3215473536,29748.650207218347,43.31542145850664,0
no_of_bath6,1246607.8002940817,64340.34304382351,19.37521221242156,2.4917057026161183e-83
no_of_bath7,1926850.6293335676,135462.12315362497,14.22427601513645,7.926017819291778e-46
no_of_bath8,328439.3393364684,397135.7056763071,0.8270204230998283,0.4082293504829949
distance_cbd<20km,-289160.0108060852,8390.940048302136,-34.46097923969737,2.7995396251855227e-257
distance_cbd<30km,-787939.2653823795,76122.80757759437,-10.350896012068501,4.389787871231144e-25
distance_cbd<5km,188255.1946409094,12585.53282121539,14.958063144022656,1.765676127959593e-50
distance_cbd>=30km,-736656.5637000491,10114.384393068578,-72.83256549008384,0
"house_size_cat(100,200]",130441.50814142765,14843.993047558733,8.787494559146285,1.5757658202729816e-18
"house_size_cat(200,300]",406118.55379389744,18324.76202671162,22.162282555260852,2.5805315424775128e-108
"house_size_cat(300,400]",465097.6966694312,18910.661561315344,24.594469905847177,8.611869088697628e-133
"house_size_cat(400,500]",536386.8275627581,18912.09250217141,28.36210892587229,1.3753421021176552e-175
"house_size_cat(500,600]",554097.5613658814,18619.925422344342,29.758312603172485,6.077471950494084e-193
"house_size_cat(600,700]",584376.3424482186,18701.406433850818,31.24772163608282,2.429931701606366e-212
"house_size_cat(700,800]",609457.372644018,19047.054069210273,31.997461152231995,1.8912723807562712e-222
"house_size_cat(800,900]",628458.2178134646,19681.771133726936,31.930978850604074,1.5220651242486634e-221
"house_size_cat(900,1e+03]",631508.6580067931,20012.635227523817,31.555497355903704,1.835024236487062e-216
no_of_bed2,325194.14075819036,18612.258952598047,17.47204042165968,3.6968278995595365e-68
no_of_bed3,422495.93235649104,19600.721887679632,21.55512101939766,1.3615091015444189e-102
no_of_bed4,487081.72882016347,20103.724984445525,24.228431755658416,5.989515893053545e-129
no_of_bed5,570097.411899915,20798.234877748844,27.410855548604182,3.1671852356397973e-164
no_of_bed6,534285.5987405537,24040.968820454545,22.22396288314191,6.632870804541405e-109
no_of_bed7,318556.2649811905,37953.66142444708,8.39329469214264,4.846523117790137e-17
no_of_bed8,449494.72459038795,69060.18797673666,6.508738793786703,7.648422240791592e-11
no_of_bed9,158194.19737113453,145763.65629499147,1.0852787408885145,0.27780334237003723
no_of_bed10,-95350.50892016536,125559.08394291249,-0.759407491086173,0.44761233944511636
Nom.ratio,84478.55860487046,3503.2651251167003,24.11423503154256,9.217846052776157e-128
distance_from_closest_station,-14393.850676228714,2002.1609220866915,-7.189157733249114,6.608299105134433e-13
EDUOCC_decile,17128.918566414817,883.5376440916502,19.386744504841968,1.99472258305646e-83
Drug.offences,55958.92122771147,2874.8604333609123,19.464917523767088,4.400336594808264e-84
no_of_parking2,41892.521667854344,4185.997021490095,10.007776272363856,1.481103408709067e-23
no_of_parking3,67866.00804686318,6675.4823898610975,10.16645750574369,2.9520936544820957e-24
no_of_parking4,88267.82723676228,8345.954259344968,10.576121614604917,4.092497879791225e-26
no_of_parking5,126585.3666734139,19001.09673426476,6.662003169803454,2.7285371739656703e-11
no_of_parking6,90365.39271735042,22122.532512504415,4.084767088319242,4.4188290508800295e-5
no_of_parking7,49345.655517082356,48539.0331078851,1.0166180155959106,0.30933999732775486
metropolitan_areaTRUE,15224.891439515357,46396.630936239504,0.32814648676620806,0.7428022523217451
typeDuplex,54545.6558204799,20967.539542763803,2.601433311201475,0.009286189001304459
typeHouse,116343.36738919036,13153.899233041178,8.844781712858827,9.456590024083206e-19
typeNew House & Land,113367.30148672202,30135.47405690982,3.7619219552555143,1.688009221324653e-4
typeSemi-Detached,53379.00379693942,20588.608157844345,2.5926475159323386,0.009526746935552138
typeTerrace,223571.90250435856,38910.139769772235,5.7458519508594215,9.19778336536134e-9
typeTownhouse,85056.51560948548,15757.837692787258,5.397727611347203,6.779027130455719e-8
typeVilla,181329.8092813198,18089.142125974115,10.0242348707598,1.2543937802121467e-23
Btwn_10_15km_2018,-62516.20282897749,14962.849925675706,-4.178094623652006,2.9444950634097375e-5
Violent.Crime,-50373.0840551822,4764.350088722237,-10.57291826107008,4.23444597340689e-26
year,-29913.627382134167,3400.1460932632262,-8.797747673666906,1.4384842648291786e-18
AQI_exclude_bushfire_month,192.8962494971893,1060.4853735490108,0.1818943045406128,0.8556663962818092
avg_temp,3159.349721202546,409.60179152902884,7.7132224188004805,1.2489499884418867e-14
AQI,-314.6407742097755,275.3986885834245,-1.1424919117378574,0.2532549631157526
Within_5km_2019,-20766.42374184781,23266.91534903985,-0.8925301626932156,0.37211303907982674
distance_from_school,-12118.623729223254,7002.9644595847385,-1.7304991049378915,0.08354718265088712
Btwn_10_15km_2019,-43453.39683069427,12984.122553855776,-3.3466563990333187,8.185151511456374e-4
Btwn_5_10km_2018,-30771.62576751553,16630.707791529654,-1.850289606025555,0.06427759260610659
Btwn_5_10km_2019,87017.11215010357,19565.09079554973,4.447570065450269,8.703017847411606e-6
distance_from_closest_station:metropolitan_areaTRUE,29597.647799960967,2119.7318388042,13.962920808255552,3.16588443564896e-44
metropolitan_areaTRUE:Btwn_10_15km_2018,117578.6484980405,15754.599080244441,7.463131743255773,8.58283537525124e-14
metropolitan_areaTRUE:distance_from_school,38168.503508997026,8505.931569698554,4.487280810601407,7.229526834119362e-6
metropolitan_areaTRUE:Btwn_5_10km_2018,54529.90242455144,17670.707844975015,3.0858923650904,0.0020305079397169995
metropolitan_areaTRUE:Within_5km_2019,-14323.594695265761,24101.24465766477,-0.5943093354189289,0.5523078689153671
metropolitan_areaTRUE:AQI_exclude_bushfire_month,-3171.9834702305648,1152.10167166981,-2.7532148839201134,0.0059033999264033726
metropolitan_areaTRUE:AQI,860.4210516976385,325.29051544900295,2.6450849650810984,0.008169540387835001
metropolitan_areaTRUE:Btwn_5_10km_2019,-101367.88133767061,20084.646971507922,-5.0470332628435575,4.5026113244828863e-7
distance_cbd<30km:metropolitan_areaTRUE,195134.7413918883,75880.3843676,2.571609817453804,0.010125493033460315
metropolitan_areaTRUE:Btwn_10_15km_2019,24532.7540665905,13809.72708724474,1.7764836271999906,0.07565919089756686
