price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences,predicted,residuals
920000,1.351546665,0.91,0.487,0.184,233,2891,1303,1317562.515851459,-397562.5158514763
1680000,1.88167223,0.918,0.966,0.281,233,2891,1303,1332822.0547487058,347177.94525127707
2195000,1.88167223,0.918,0.966,0.281,233,2891,1303,1332822.0547487058,862177.945251277
1800000,1.310196274,0.795,0.362,0.222,233,2891,1303,1314693.6728638234,485306.3271361596
770000,1.302074583,0.837,0.454,0.177,233,2891,1303,1317255.3487777582,-547255.3487777759
715000,1.380339458,0.972,0.643,0.268,233,2891,1303,1324065.9745067845,-609065.9745068017
700000,1.236222055,0.832,0.738,0.217,233,2891,1303,1329435.1806718118,-629435.1806718293
2206000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,882152.2909030933
980000,1.852119298,0.942,0.658,0.275,233,2891,1303,1320901.4448311261,-340901.4448311434
2060000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,736152.2909030933
815000,1.380339458,0.972,0.643,0.268,233,2891,1303,1324065.9745067845,-509065.9745068016
665000,1.380339458,0.972,0.643,0.268,233,2891,1303,1324065.9745067845,-659065.9745068017
1725000,1.302074583,0.837,0.454,0.177,233,2891,1303,1317255.3487777582,407744.65122222406
1810000,1.887528635,1.002,0.779,0.312,233,2891,1303,1325296.9458050574,484703.0541949256
1280000,1.605673451,1.116,0.683,0.078,233,2891,1303,1319475.6911170087,-39475.69111702596
850000,1.527577073,1.14,0.729,0.101,233,2891,1303,1322071.0524825102,-472071.05248252745
950000,1.551527048,0.887,0.468,0.066,233,2891,1303,1313484.9005324543,-363484.90053247137
1300000,1.165234339,0.756,0.686,0.164,233,2891,1303,1327906.3198934637,-27906.319893481268
1100000,1.605673451,1.116,0.683,0.078,233,2891,1303,1319475.6911170087,-219475.691117026
755000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,-583891.0441761549
1420000,1.7698453,1.073,0.776,0.217,233,2891,1303,1324132.0839854653,95867.91601451738
1725000,1.260373859,0.313,0.44,0.665,928,12147,2517,1205655.9131960508,519344.086803933
1750000,0.903232392,0.162,0.326,0.472,928,12147,2517,1202750.1628198957,547249.837180088
1450000,1.679209506,0.672,0.272,0.877,928,12147,2517,1195614.6685449772,254385.3314550065
2120000,1.846361407,0.812,0.323,0.749,928,12147,2517,1192938.4517593782,927061.5482406056
1010000,1.132535055,0.467,0.188,0.259,928,12147,2517,1189496.9529581612,-179496.95295817746
1667000,1.850763867,0.695,0.263,0.581,928,12147,2517,1189046.2461212685,477953.7538787149
730000,1.168392988,0.441,0.186,0.353,928,12147,2517,1190772.0700912566,-460772.0700912729
2136500,1.356842401,0.344,0.413,0.354,928,12147,2517,1198748.61049891,937751.3895010739
1215500,1.646893613,0.662,0.065,0.68,928,12147,2517,1184991.9615681812,30508.038431802626
750000,2.266488262,0.561,0.054,0.403,928,12147,2517,1175819.1634569734,-425819.1634569893
1565000,2.058175856,0.416,0.164,0.239,928,12147,2517,1180643.3531374626,384356.6468625213
1680000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,488588.4720170615
1210000,1.339673981,0.279,0.474,0.282,928,12147,2517,1200720.6246195876,9279.375380395686
1900000,1.23081586,0.48,0.255,0.439,928,12147,2517,1193860.2681010242,706139.7318989593
990000,2.301894719,0.606,0.153,0.369,928,12147,2517,1178413.0147414522,-188413.01474146848
752000,2.470077726,0.089,0.134,0.318,928,12147,2517,1179973.6369732341,-427973.6369732499
1100000,1.700141639,0.447,0.232,0.465,928,12147,2517,1189568.6448987743,-89568.64489879055
800000,1.168392988,0.441,0.186,0.353,928,12147,2517,1190772.0700912566,-390772.0700912729
1450000,1.132535055,0.467,0.188,0.259,928,12147,2517,1189496.9529581612,260503.04704182252
1150000,1.132535055,0.467,0.188,0.259,928,12147,2517,1189496.9529581612,-39496.95295817742
850000,1.111393575,0.369,0.137,0.341,928,12147,2517,1189828.4085107807,-339828.40851079713
1155000,1.480415802,0.597,0.174,0.729,928,12147,2517,1191965.7689097,-36965.76890971663
1360000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,168588.47201706152
615000,2.277103538,0.623,0.154,0.355,928,12147,2517,1178304.5051565731,-563304.5051565894
1650000,1.84515892,0.475,0.168,0.576,928,12147,2517,1187287.167883652,462712.83211633156
1150000,1.771035803,0.56,0.082,0.529,928,12147,2517,1183152.877025332,-33152.87702534818
1740000,1.780972577,0.808,0.259,0.753,928,12147,2517,1191137.0887384044,548862.9112615794
1590000,1.779482001,0.786,0.284,0.789,928,12147,2517,1192857.3693263081,397142.6306736755
1030000,1.330386116,0.213,0.391,0.186,928,12147,2517,1196713.5667636043,-166713.56676362033
902500,1.258487403,0.496,0.295,0.491,928,12147,2517,1195815.5738483898,-293315.5738484062
2215000,1.07556789,0.219,0.411,0.578,928,12147,2517,1205644.6327988266,1009355.3672011571
950000,0.944406311,0.252,0.478,0.536,928,12147,2517,1208439.9592642898,-258439.9592643062
2108000,1.858032767,0.798,0.328,0.737,928,12147,2517,1192969.0005341244,915030.9994658595
1552000,1.716872122,0.531,0.133,0.591,928,12147,2517,1186793.7152342044,365206.28476577956
2100000,0.978127197,0.202,0.187,0.394,928,12147,2517,1195194.3721293353,904805.6278706484
1720000,1.695450382,0.509,0.133,0.577,928,12147,2517,1186959.6694906324,533040.33050935145
2055000,1.107800816,0.228,0.406,0.592,928,12147,2517,1205305.7629029427,849694.2370970409
2000000,1.146286851,0.154,0.483,0.52,928,12147,2517,1207488.4907435148,792511.5092564687
2225000,2.432890136,0.049,0.053,0.348,928,12147,2517,1177984.3296663014,1047015.6703336824
915000,1.067609026,0.371,0.094,0.245,928,12147,2517,1187067.4311503957,-272067.43115041184
2010000,1.644469594,0.627,0.055,0.645,928,12147,2517,1184399.8927024852,825600.1072974986
1920000,1.412820533,0.478,0.232,0.493,928,12147,2517,1192229.4453221054,727770.5546778779
1430000,2.15760503,0.551,0.19,0.309,928,12147,2517,1180663.5584495885,249336.4415503951
1165000,1.737922793,0.144,0.367,0.131,928,12147,2517,1192000.2407992056,-27000.24079922199
1957500,2.323856681,0.538,0.082,0.443,928,12147,2517,1177211.8607899754,780288.1392100086
765000,1.112222744,0.37,0.138,0.341,928,12147,2517,1189850.9578622652,-424850.95786228165
2180000,1.413927977,0.5,0.216,0.515,928,12147,2517,1191745.9391032069,988254.0608967772
1585000,1.673604245,0.684,0.096,0.696,928,12147,2517,1186005.7596302337,398994.24036975007
660000,2.332468226,0.408,0.423,0.2,928,12147,2517,1187712.6285757844,-527712.6285758003
590000,2.277103538,0.623,0.154,0.355,928,12147,2517,1178304.5051565731,-588304.5051565894
780000,1.112222744,0.37,0.138,0.341,928,12147,2517,1189850.9578622652,-409850.95786228165
1800000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,608588.4720170615
1475000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,283588.4720170615
1170000,2.159894802,0.319,0.212,0.151,928,12147,2517,1181113.9957672565,-11113.995767272701
1620000,2.614316901,0.142,0.134,0.494,928,12147,2517,1180940.562671296,439059.4373286879
1475000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,283588.4720170615
799000,1.111393575,0.369,0.137,0.341,928,12147,2517,1189828.4085107807,-390828.40851079713
1800000,2.169321293,0.311,0.278,0.263,928,12147,2517,1185358.5658937662,614641.4341062175
1360000,1.672175369,0.214,0.32,0.232,928,12147,2517,1191690.258310587,168309.74168939693
1700000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,508588.4720170615
840000,1.139262031,0.387,0.173,0.38,928,12147,2517,1191411.527982922,-351411.5279829385
700000,2.259328908,0.648,0.224,0.289,928,12147,2517,1179930.3736072166,-479930.37360723305
1385000,1.773712294,0.253,0.246,0.263,928,12147,2517,1188083.0783293054,196916.92167067842
1002000,1.903414432,0.294,0.348,0.205,928,12147,2517,1189638.8030922997,-187638.8030923157
760000,1.299019856,0.319,0.441,0.321,928,12147,2517,1200047.5153445655,-440047.5153445818
1730000,2.485277264,0.161,0.206,0.311,928,12147,2517,1181878.1931366695,548121.8068633145
1775000,2.458327277,0.09,0.05,0.407,928,12147,2517,1178188.6164662063,596811.383533778
1775000,2.458327277,0.09,0.05,0.407,928,12147,2517,1178188.6164662063,596811.383533778
1490000,1.44341599,0.256,0.423,0.269,928,12147,2517,1197852.9291799127,292147.0708200709
1565000,1.814938419,0.63,0.235,0.516,928,12147,2517,1187856.2418361905,377143.75816379325
1150000,1.550604337,0.324,0.442,0.357,381,10770,1969,1311883.2171656587,-161883.2171656755
1795000,1.626301301,0.325,0.522,0.483,381,10770,1969,1316224.7594271793,478775.2405728038
1350000,1.198085757,0.163,0.152,0.437,381,10770,1969,1306410.996505508,43589.00349447516
1850000,0.896983749,0.439,0.143,0.502,381,10770,1969,1307259.4287575078,542740.5712424754
1025000,0.848510034,0.335,0.402,0.509,381,10770,1969,1318688.6194996408,-293688.61949965754
892000,1.534613746,0.412,0.688,0.916,381,10770,1969,1329278.4874954412,-437278.48749545804
1150000,1.265394479,0.153,0.172,0.373,381,10770,1969,1305705.002972539,-155705.00297255587
1100000,1.657736414,0.613,0.405,0.306,381,10770,1969,1306205.8349816934,-206205.83498171053
1525000,1.963178538,0.453,0.6,0.615,381,10770,1969,1317188.7641040734,207811.2358959099
1610000,1.017445325,0.338,0.253,0.32,381,10770,1969,1308555.7772153306,301444.22278465214
2100000,0.741955567,0.236,0.362,0.505,381,10770,1969,1318883.3400860834,781116.6599138996
1740000,1.212781897,0.403,0.224,0.151,381,10770,1969,1302581.0463170852,437418.95368289796
760000,5.734400956,0.744,0.113,1.054,263,1886,1402,1276216.6005247603,-516216.60052477656
1670000,3.55583275,0.567,0.241,0.722,263,1886,1402,1296626.1293872106,373373.8706127725
1800000,4.127191519,0.514,0.354,0.682,263,1886,1402,1295855.722577008,504144.2774229755
920000,3.79239845,0.53,0.274,0.435,263,1886,1402,1291774.6486211363,-371774.6486211529
1810000,3.772106969,0.452,0.062,0.641,263,1886,1402,1287610.35299512,522389.6470048636
1400000,4.388387842,0.623,0.614,0.743,263,1886,1402,1303578.8357280204,96421.16427196284
880000,3.70310815,0.617,0.257,0.625,263,1886,1402,1294037.6005684016,-414037.6005684186
1620000,4.112484762,0.514,0.34,0.685,263,1886,1402,1295489.9818613492,324510.0181386342
880000,3.771410571,0.319,0.233,0.498,263,1886,1402,1293192.0469628042,-413192.04696282075
2150000,4.595506282,0.711,0.674,0.74,263,1886,1402,1303268.0904965592,846731.9095034243
690000,3.878504154,0.601,0.246,0.375,263,1886,1402,1288403.983402392,-598403.9834024089
735000,4.681195808,0.768,0.715,0.669,263,1886,1402,1302516.3558950843,-567516.3558951007
1360000,4.3590947,0.611,0.585,0.737,263,1886,1402,1302729.7046828014,57270.29531718227
960000,5.376798629,1.025,0.476,1.178,263,1886,1402,1292759.012694581,-332759.0126945975
1427000,4.595559406,0.693,0.65,0.712,263,1886,1402,1302072.3423527242,124927.65764725932
968000,3.468780135,0.484,0.385,0.721,263,1886,1402,1303650.8716069488,-335650.87160696567
1425000,4.312548095,0.552,0.537,0.683,263,1886,1402,1300977.4497542288,124022.55024575446
1540000,3.926411088,0.601,0.205,0.79,263,1886,1402,1292747.8535972293,247252.14640275374
1100000,4.728755272,1.32,0.78,0.527,263,1886,1402,1297591.5345785213,-197591.53457853812
2030000,4.590504572,1.202,0.65,0.403,263,1886,1402,1292925.2356138555,737074.7643861276
1225000,5.07376476,1.32,0.775,0.876,263,1886,1402,1299724.4962173286,-74724.49621734493
980000,3.219762412,0.402,0.568,0.383,263,1886,1402,1308432.3480579867,-328432.3480580033
2221000,4.227298861,0.655,0.476,0.813,263,1886,1402,1300451.1678550257,920548.8321449576
835000,3.743586474,0.706,0.17,0.663,263,1886,1402,1290129.5206795102,-455129.5206795271
1805000,4.179874721,0.533,0.407,0.692,263,1886,1402,1297425.9926439426,507574.0073560404
1900000,3.994167204,0.58,0.25,0.765,263,1886,1402,1293694.5191537845,606305.4808461984
1000000,4.157572215,0.652,0.417,0.82,263,1886,1402,1298917.484024935,-298917.4840249512
1940000,4.072266246,0.604,0.327,0.781,263,1886,1402,1296016.3910940164,643983.6089059669
882000,5.842737016,0.738,0.146,0.896,263,1886,1402,1274182.4432557789,-392182.443255795
1100000,3.830047207,0.563,0.099,0.755,263,1886,1402,1289299.5795149086,-189299.5795149253
1510000,3.549959417,0.583,0.239,0.732,263,1886,1402,1296612.579060867,213387.42093911627
1250000,3.929057266,0.691,0.192,0.854,263,1886,1402,1292411.48744496,-42411.4874449767
1340000,4.430366179,0.583,0.576,0.681,263,1886,1402,1301151.2731371773,38848.726862806216
700000,5.639344247,0.845,0.215,1.078,263,1886,1402,1280458.345747013,-580458.3457470296
920000,4.157405045,0.651,0.417,0.819,263,1886,1402,1298912.438003866,-378912.4380038826
1680000,4.158935716,0.483,0.384,0.645,263,1886,1402,1296442.390864193,383557.6091357907
2105000,4.313975312,0.672,0.553,0.815,263,1886,1402,1302545.7513887105,802454.2486112728
1400000,4.603731161,0.699,0.655,0.706,263,1886,1402,1302049.511533183,97950.48846680013
1321000,3.609724263,0.469,0.257,0.616,263,1886,1402,1296013.590635093,24986.40936489024
1299000,4.502018225,0.649,0.631,0.736,263,1886,1402,1302908.3763625142,-3908.3763625309925
870000,3.918574418,0.591,0.163,0.294,263,1886,1402,1283704.1863735248,-413704.1863735416
1460000,3.872717104,0.291,0.214,0.482,263,1886,1402,1291577.490039154,168422.50996082943
1900000,4.378518763,0.619,0.604,0.741,263,1886,1402,1303283.8522016238,596716.1477983595
780000,5.376798629,1.025,0.476,1.178,263,1886,1402,1292759.012694581,-512759.0126945975
760000,3.759326679,0.499,0.286,0.456,263,1886,1402,1293118.789852208,-533118.789852225
1301000,3.916768698,0.52,0.153,0.709,263,1886,1402,1290300.1211488172,10699.87885116615
1875000,4.348961575,0.638,0.578,0.77,263,1886,1402,1302815.4379857243,572184.562014259
1325000,4.947120334,1.46,0.897,0.76,263,1886,1402,1302530.7887993949,22469.21120058834
1890000,4.958285374,1.459,0.886,0.778,263,1886,1402,1302293.1799305924,587706.8200693901
825000,4.704339767,1.309,0.76,0.51,263,1886,1402,1296870.007309019,-471870.0073090358
995000,3.045303377,0.303,0.746,0.205,665,6622,867,1194057.1750383552,-199057.17503837164
939000,2.934894159,0.195,0.811,0.094,665,6622,867,1196777.8321582587,-257777.83215827524
1955000,2.954484738,0.606,0.63,0.777,665,6622,867,1196457.939904986,758542.0600949973
1150000,2.486415735,0.266,0.305,0.366,665,6622,867,1184711.2146567237,-34711.2146567401
1070000,2.43601681,0.341,0.367,0.335,665,6622,867,1186408.9886277895,-116408.98862780626
1595000,2.995005393,0.663,0.688,0.822,665,6622,867,1198528.325019714,396471.67498026934
1665000,2.425513648,0.494,0.169,0.484,665,6622,867,1179799.9818149742,485200.0181850093
785111,2.805537056,0.178,0.71,0.078,665,6622,867,1193916.01091883,-408805.0109188467
1055000,2.763306179,0.18,0.672,0.046,665,6622,867,1192312.3874547086,-137312.38745472542
2225000,2.867232798,0.394,0.333,0.466,665,6622,867,1182875.1700143397,1042124.8299856437
