price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences
1400000,1.659880512,1.138,0.776,0.173,233,2891,1303
1250000,1.805787177,1.065,0.796,0.233,233,2891,1303
1040000,1.605673451,1.116,0.683,0.078,233,2891,1303
720000,1.236222055,0.832,0.738,0.217,233,2891,1303
1150000,1.773933564,1.012,0.686,0.23,233,2891,1303
845000,1.402523052,0.93,0.489,0.143,233,2891,1303
840000,1.513937589,1.163,1.029,0.085,233,2891,1303
1870000,1.483681465,1.089,0.704,0.111,233,2891,1303
1760000,1.7698453,1.073,0.776,0.217,233,2891,1303
1330000,1.607484313,1.172,0.782,0.171,233,2891,1303
1480000,1.747634357,1.004,0.969,0.15,233,2891,1303
1510000,1.678493974,1.139,0.795,0.158,233,2891,1303
715000,1.527577073,1.14,0.729,0.101,233,2891,1303
1798888,1.747634357,1.004,0.969,0.15,233,2891,1303
1775000,1.841207261,1.035,0.784,0.268,233,2891,1303
1300000,1.605673451,1.116,0.683,0.078,233,2891,1303
2200000,1.659880512,1.138,0.776,0.173,233,2891,1303
1200000,1.747634357,1.004,0.969,0.15,233,2891,1303
1160000,1.426577741,1.095,1.104,0.172,233,2891,1303
900000,1.262314309,0.84,0.545,0.149,233,2891,1303
1450000,1.064053412,0.663,0.822,0.114,233,2891,1303
1560000,1.678493974,1.139,0.795,0.158,233,2891,1303
1800000,1.887528635,1.002,0.779,0.312,233,2891,1303
740000,1.131585053,0.736,0.842,0.088,233,2891,1303
1117000,1.244020363,0.838,0.706,0.243,233,2891,1303
1250000,1.747634357,1.004,0.969,0.15,233,2891,1303
950000,1.272898761,0.837,0.517,0.152,233,2891,1303
1405000,1.659880512,1.138,0.776,0.173,233,2891,1303
1680000,1.326170342,0.918,0.652,0.279,233,2891,1303
1000000,1.426577741,1.095,1.104,0.172,233,2891,1303
1730000,1.659880512,1.138,0.776,0.173,233,2891,1303
741500,1.484719042,0.762,0.324,0.101,233,2891,1303
1240000,1.767401268,1.015,0.685,0.223,233,2891,1303
710000,1.380339458,0.972,0.643,0.268,233,2891,1303
1050000,1.312337713,1.059,0.859,0.369,233,2891,1303
2200000,1.426577741,1.095,1.104,0.172,233,2891,1303
1500000,1.064053412,0.663,0.822,0.114,233,2891,1303
1085000,1.527577073,1.14,0.729,0.101,233,2891,1303
925000,1.426577741,1.095,1.104,0.172,233,2891,1303
1200000,1.302074583,0.837,0.454,0.177,233,2891,1303
1532000,1.445601717,1.107,1.065,0.147,233,2891,1303
975000,1.205520326,0.801,0.736,0.202,233,2891,1303
945000,1.351546665,0.91,0.487,0.184,233,2891,1303
835000,1.445601717,1.107,1.065,0.147,233,2891,1303
795000,1.527577073,1.14,0.729,0.101,233,2891,1303
1830000,1.426577741,1.095,1.104,0.172,233,2891,1303
900000,1.262314309,0.84,0.545,0.149,233,2891,1303
1455000,1.426577741,1.095,1.104,0.172,233,2891,1303
1275000,1.272898761,0.837,0.517,0.152,233,2891,1303
715000,1.205520326,0.801,0.736,0.202,233,2891,1303
1126000,1.551527048,0.887,0.468,0.066,233,2891,1303
1495000,1.064053412,0.663,0.822,0.114,233,2891,1303
705000,1.63191791,1.128,0.925,0.033,233,2891,1303
1400000,1.659880512,1.138,0.776,0.173,233,2891,1303
1220000,1.302074583,0.837,0.454,0.177,233,2891,1303
1305000,1.165234339,0.756,0.686,0.164,233,2891,1303
1140000,1.17335849,0.772,0.78,0.154,233,2891,1303
1290000,1.165234339,0.756,0.686,0.164,233,2891,1303
1060000,1.445601717,1.107,1.065,0.147,233,2891,1303
1700000,1.88167223,0.918,0.966,0.281,233,2891,1303
1120000,1.264138225,0.855,0.635,0.208,233,2891,1303
1170000,1.841207261,1.035,0.784,0.268,233,2891,1303
1000000,1.407362552,0.976,0.536,0.169,233,2891,1303
806000,1.386943179,1.046,1.066,0.119,233,2891,1303
1500000,1.445601717,1.107,1.065,0.147,233,2891,1303
920000,1.351546665,0.91,0.487,0.184,233,2891,1303
1680000,1.88167223,0.918,0.966,0.281,233,2891,1303
980000,1.406959668,0.981,0.541,0.173,233,2891,1303
2195000,1.88167223,0.918,0.966,0.281,233,2891,1303
1800000,1.310196274,0.795,0.362,0.222,233,2891,1303
770000,1.302074583,0.837,0.454,0.177,233,2891,1303
1135000,1.852119298,0.942,0.658,0.275,233,2891,1303
715000,1.380339458,0.972,0.643,0.268,233,2891,1303
700000,1.236222055,0.832,0.738,0.217,233,2891,1303
2206000,1.659880512,1.138,0.776,0.173,233,2891,1303
980000,1.852119298,0.942,0.658,0.275,233,2891,1303
2060000,1.659880512,1.138,0.776,0.173,233,2891,1303
815000,1.380339458,0.972,0.643,0.268,233,2891,1303
665000,1.380339458,0.972,0.643,0.268,233,2891,1303
1725000,1.302074583,0.837,0.454,0.177,233,2891,1303
871000,1.264138225,0.855,0.635,0.208,233,2891,1303
1810000,1.887528635,1.002,0.779,0.312,233,2891,1303
1280000,1.605673451,1.116,0.683,0.078,233,2891,1303
850000,1.527577073,1.14,0.729,0.101,233,2891,1303
955000,1.445601717,1.107,1.065,0.147,233,2891,1303
950000,1.551527048,0.887,0.468,0.066,233,2891,1303
1300000,1.165234339,0.756,0.686,0.164,233,2891,1303
1100000,1.605673451,1.116,0.683,0.078,233,2891,1303
1350000,1.747634357,1.004,0.969,0.15,233,2891,1303
740000,1.386943179,1.046,1.066,0.119,233,2891,1303
965000,1.402523052,0.93,0.489,0.143,233,2891,1303
755000,1.426577741,1.095,1.104,0.172,233,2891,1303
1420000,1.7698453,1.073,0.776,0.217,233,2891,1303
1900000,1.899202363,0.993,0.777,0.323,233,2891,1303
1725000,1.260373859,0.313,0.44,0.665,928,12147,2517
1750000,0.903232392,0.162,0.326,0.472,928,12147,2517
1450000,1.679209506,0.672,0.272,0.877,928,12147,2517
1600000,0.958608977,0.182,0.199,0.397,928,12147,2517
2120000,1.846361407,0.812,0.323,0.749,928,12147,2517
1010000,1.132535055,0.467,0.188,0.259,928,12147,2517
1667000,1.850763867,0.695,0.263,0.581,928,12147,2517
730000,1.168392988,0.441,0.186,0.353,928,12147,2517
2136500,1.356842401,0.344,0.413,0.354,928,12147,2517
1215500,1.646893613,0.662,0.065,0.68,928,12147,2517
840000,2.021555228,0.598,0.44,0.584,928,12147,2517
750000,2.266488262,0.561,0.054,0.403,928,12147,2517
1565000,2.058175856,0.416,0.164,0.239,928,12147,2517
